control_group,year,time,treated,weighted_premiums_overall,weighted_offerings_overall,weighted_enrollment_overall,weighted_new_overall,event_time
Idaho,2017,0,1,2149.96663387142,139.105481025406,82329,84.5411034803316,-3
Idaho,2018,0,1,2179.08689255614,134.68731226139,87683,81.0707802820359,-3
Idaho,2019,0,1,2206.13288529593,129.642292471774,92403,79.2086560209408,-2
Idaho,2020,0,1,2278.38318005835,115.468654701351,90143,68.3929724000308,-1
Idaho,2021,0,1,2348.15850573002,118.702114487905,94066,72.4139693646313,0
Idaho,2022,1,1,2411.05891694117,114.970665977209,93199,69.8625577947636,1
Idaho,2023,1,1,2452.44757603846,106.072588919289,92782,53.43707250342,2
Control Group,2017,0,0,2207.91883981129,167.297052974673,75230.7922084416,88.6056751896101,-3
Control Group,2018,0,0,2226.20963637595,165.914237840226,81912.3243403378,92.0000979158281,-3
Control Group,2019,0,0,2265.62849935444,160.243850608681,85103.4061620016,87.0038749370908,-2
Control Group,2020,0,0,2343.10436103691,148.119566303547,85316.0082844192,86.3321177070811,-1
Control Group,2021,0,0,2404.59068627532,154.676186410276,86112.722949261,92.0685001809879,0
Control Group,2022,1,0,2447.82074409308,149.662350873201,85614.9805658149,88.5581577986643,1
Control Group,2023,1,0,2539.20365188054,143.366848250021,84261.4182565015,80.7723884221313,2
