term,estimate,std.error,statistic,p.value,event_time,treated
factor(event_time)-2,-77.4758616824724,24.3160718953016,-3.18619972897195,0.0859889168820789,-2,0
factor(event_time)-3,-126.040122943288,21.05833598158,-5.98528407247073,0.0267975566119271,-3,0
factor(event_time)0,61.4863252384162,24.3160718953016,2.52862902787752,0.127226505883458,0,0
factor(event_time)1,104.716383056169,24.3160718953016,4.30646789938151,0.0499179677372132,1,0
factor(event_time)2,196.099290843633,24.3160718953016,8.0645957820812,0.0150299277736088,2,0
factor(event_time)-2:treated,5.22556692005256,34.3881186579747,0.151958499737255,0.893164091676274,-2,1
factor(event_time)-3:treated,12.183706098718,29.7809843461598,0.409110254956668,0.722109489422817,-3,1
factor(event_time)0:treated,8.28900043325155,34.3881186579748,0.241042568094352,0.831980244246831,0,1
factor(event_time)1:treated,27.9593538266479,34.3881186579747,0.813052732100075,0.501584191183321,1,1
factor(event_time)2:treated,-22.0348948635284,34.3881186579748,-0.640770583662575,0.587293635537843,2,1
